name,email
Ang Pamantasan,angpamantasan@plm.edu.ph
Association of Civil Engineering Students - PLM -ACES,plmaces23@gmail.com
Brotherhood of Medical Scholars,bms.plm1987@gmail.com
College of Education Student Council (CEDSC),plm.coedsc19@gmail.com
College of Engineering and Technology Student Council - CETSC,plmcengsc@gmail.com
"College of Humanities, Arts, and Social Sciences Student Council (CHASS SC)",chassscplm@gmail.com
College of Medicine Student Council,plm.cmsc@gmail.com
College of Nursing Student Council - CNSC,plmcnsc@gmail.com
College of Science Student Council,csscplm@gmail.com
Community Development and Research Society,plm.comdrs@gmail.com
Electronics Engineering Students' Society,ecess.plm@gmail.com
Gabriela Youth Pamantasan ng Lungsod ng Maynila (GY PLM),gabrielayouth.plm@gmail.com
Google Developer Student Clubs,dsc.haribon@gmail.com
Junior Entrepreneurs’ Society,plmjuniorentrepsociety@gmail.com
Lightbearer Society (LS),lightbearersocietyplm1993@gmail.com
Magwayen Creative Scholars’ Guild,magwayenofficial@gmail.com
Medical Alliance Rendering Service to Fellowmen (MARSF),marsf.plmcmom@gmail.com
Movement Experts' Society,mes.plm.pt@gmail.com
Philippine Society of Mechanical Engineers - Pamantasan ng Lungsod ng Maynila Student Unit (PSME PLMSU),spades.plm@gmail.com
PhiloMedicaScientia,philomedicascientia1989@gmail.com
PLM - The Chemical Society (TCS),plmchemicalsociety@gmail.com
"PLM American Society of Heating, Refrigerating, and Air-Conditioning Engineers",ashraeplm@gmail.com
PLM Business School Student Council,plmbssc@gmail.com
PLM Cadet Teachers’ Organization,plm.cadetteachersorg@gmail.com
PLM Chemical Engineering Students’ Society,plmchess.official@gmail.com
PLM College of Architecture and Sustainable Built Environment,casbescofficial@gmail.com
PLM College of Law Student Council,clscplm@gmail.com
PLM College of Science Student Council,plmcollegeofsciencesc@gmail.com
PLM College Y Club,officialplm.cyc@gmail.com
PLM Computer Science Society,plmcss.org@gmail.com
PLM CRAdLe,plmcradle.org@gmail.com
PLM DOST Scholars’ Association,plmdostsa@gmail.com
PLM Hospitality Management Guild,hospitality.management.guild@gmail.com
PLM Independent Film and Arts,pifa.filmorg@gmail.com
PLM Iskolars Dance Incorporated,plmiskolarsdanceinc@yahoo.com
PLM Junior Chamber of Estate Practitioners,jcorep.official@gmail.com
PLM Junior Chamber of Real Estate Practioner,jcorep.official@gmail.com
PLM Junior Financial Executives,plmjfinex2023@gmail.com
PLM Junior Institute of Electrical Engineers,jieepartnershipcomm@gmail.com
PLM Junior Marketing Association,officialplmjma@gmail.com
PLM Junior People Management Association of the Philippines,jpmap.plmchapter@gmail.com
PLM Junior Philippine Institute of Accountants,jpiaplm.ncrwest@gmail.com
PLM Junior Social Workers Association of the Philippines,jswapplmchapter@gmail.com
PLM Mass Communication Students’ League,plmmcsl@gmail.com
PLM Mathematical Society,plmmathsoc@gmail.com
PLM Ministry on Campus,plm.ministryoncampus@gmail.com
PLM Propaganda,plm.propaganda2011@gmail.com
PLM Psychological Society,plmpsysoc@gmail.com
PLM SAVE - Stewards and Volunteers for the Earth Philippines,pamantasan.save@gmail.com
PLM Society of Information Technology Enthusiasts,plmsiteofficial@gmail.com
PLM Society of Manufacturing Engineers,sme.plm174@gmail.com
PLM SPADES (Speech and Debate Society),spades.plm@gmail.com
PLM Teachers Education Society (PLM TES),teachereducationsociety@gmail.com
PLM Tourism and Hospitality,tasha.plm@gmail.com
PLM Tourism Student's Society,plm.tourismstudentssociety@gmail.com
PLM Tugon ReSCUE,plmtugonrescue31@gmail.com
PLM Volunteers for PAWsitivity,volunteersforpawsitivity.plmvfp@gmail.com
PLM Young Economists’ Society,plm.businesseconomics@gmail.com
Rotaract Club of Pamantasan ng Lungsod ng Maynila,plmrotaract@gmail.com
The PLM Red Cross Youth Council,theplmredcrossyouthcouncil@gmail.com
The PLM Supreme Student Council,theplm.ssc@gmail.com
UAPSA PLM (United Architects of the Philippines Student Auxiliary PLM),uapsaplmchapter@gmail.com
